Nombre_Fondo,Moneda,Fecha,Plazo_Liquidacion,Valor_Cuotaparte_Actual,Rendimiento_Del_Dia_%,Rendimiento_Del_Mes_%,Rendimiento_Del_Anio_%
Delta Latinoamerica - Clase B,ARS,2026-04-08,1.0,432721.474,2.335,23.369,73.612
FBA Acciones Latinoamericana - Clase A,ARS,2026-04-08,2.0,3201006.307,2.286,24.518,65.993
FBA Acciones Latinoamericana - Clase B,ARS,2026-04-08,2.0,4356475.198,2.316,25.032,68.556
Superfondo Latinoamerica - Clase C,USD,2026-04-08,5.0,8416860.427,1.428,16.471,79.726
Superfondo Latinoamerica - Clase D,USD,2026-04-08,5.0,12644624.972,1.462,17.022,82.91
Compass Renta Mixta II - Clase A,ARS,2026-04-08,3.0,1594.503,2.982,20.453,62.19
Compass Renta Mixta II - Clase B,ARS,2026-04-08,3.0,1614.228,2.997,20.825,64.12
Compass Renta Mixta II - Clase C,ARS,2026-04-08,3.0,1648.43,3.022,21.418,67.273
Compass Renta Mixta II - Clase H,ARS,2026-04-08,3.0,1630.827,2.982,20.453,62.19
Compass Renta Mixta II - Clase I,ARS,2026-04-08,3.0,1736.042,3.022,21.418,
Delta Acciones - Clase I,ARS,2026-04-08,1.0,0.854,-0.582,3.515,-4.474
Delta Internacional - Clase I,ARS,2026-04-08,1.0,0.599,-0.498,3.454,-4.466
Alpha Latam - Clase J,USD,2026-04-08,1.0,1111.91,0.173,16.917,18.271
Alpha Latam - Clase K,USD,2026-04-08,1.0,1617.508,0.133,16.236,39.665
Compass Renta Mixta Dólares - Clase A,USB,2026-04-08,2.0,613.301,0.656,1.291,
Compass Renta Mixta Dólares - Clase B,USB,2026-04-08,2.0,703.264,0.669,1.551,
Compass Renta Mixta Dólares - Clase C,USB,2026-04-08,2.0,869.55,0.686,1.909,
FBA Acciones Globales Dólar I - Clase B,USB,2026-04-08,2.0,999.595,-0.011,-0.043,
MAF Acciones Argentinas - Clase D,ARS,2026-04-08,2.0,29.926,-0.631,3.457,-4.779
MAF Acciones Argentinas - Clase E,ARS,2026-04-08,2.0,1000,,,
Allaria Acciones - Clase W Art. 11 Decreto 99/2019 y mod,ARS,2026-04-08,1.0,106.105,-0.478,3.801,-4.517
Alpha Mega - Clase R Art. 11 Decreto 99/2019 y mod,ARS,2026-04-08,1.0,0.698,-0.711,3.407,-4.514
Balanz Equity Selection - Clase E,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Equity Selection - Clase F,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Soja - Clase E,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Balanz Soja - Clase F,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Chimpay Agresivo - Clase D,ARS,2026-04-08,1.0,1000,0.0,,
Chimpay Agresivo - Clase E,ARS,2026-04-08,1.0,1000,0.0,,
Chimpay Agresivo - Clase F,ARS,2026-04-08,1.0,1000,0.0,,
Compass Crecimiento - Clase D,ARS,2026-04-08,1.0,6802.689,-2.288,-0.577,29.501
Compass Crecimiento - Clase E,ARS,2026-04-08,1.0,10450.697,-2.239,0.462,34.751
Compass Crecimiento - Clase F,ARS,2026-04-08,1.0,10507.394,-2.259,0.038,32.588
Compass Crecimiento II - Clase D,ARS,2026-04-08,1.0,536.852,-0.462,14.265,43.217
Compass Crecimiento II - Clase E,ARS,2026-04-08,1.0,632.668,-0.462,14.265,43.218
Compass Crecimiento II - Clase F,ARS,2026-04-08,1.0,725.885,-0.462,14.265,43.217
Delta Acciones - Clase F,ARS,2026-04-08,1.0,876.797,-1.078,2.272,30.105
Delta Acciones - Clase G,ARS,2026-04-08,1.0,33.436,-1.08,2.27,-8.324
Delta Recursos Naturales - Clase F,ARS,2026-04-08,1.0,915.301,-1.078,2.272,41.529
Delta Recursos Naturales - Clase G,ARS,2026-04-08,1.0,34.008,-1.079,2.274,-8.324
Delta Select - Clase F,ARS,2026-04-08,1.0,688.761,-2.2,-1.843,28.973
Delta Select - Clase G,ARS,2026-04-08,1.0,25.8,-1.081,2.271,-8.325
Galileo Acciones - Clase C,ARS,2026-04-08,1.0,287.429,-2.331,11.398,51.072
Galileo Acciones - Clase D,ARS,2026-04-08,1.0,3.055,-0.747,4.516,-2.052
IEB Value - Clase D,ARS,2026-04-08,2.0,33.304,-1.709,2.711,36.615
IEB Value - Clase E,ARS,2026-04-08,2.0,3.14,-0.633,3.46,-4.501
IEB Value - Clase F,ARS,2026-04-08,2.0,1000,0.0,0.0,0.0
Superfondo Acciones Brasil - Clase A,USD,2026-04-08,5.0,1702.694,0.635,16.71,52.687
Superfondo Acciones Brasil - Clase B,USD,2026-04-08,5.0,2936.553,0.71,17.943,58.783
Delta Internacional - Clase F,ARS,2026-04-08,1.0,890.426,-1.078,2.272,29.363
Delta Internacional - Clase G,ARS,2026-04-08,1.0,64.119,-1.078,2.273,-8.323
Alpha Latam - Clase A,USD,2026-04-08,1.0,1784.77,0.173,16.917,43.048
Alpha Latam - Clase B,USD,2026-04-08,1.0,1481.821,0.133,16.235,39.652
Alpha Latam - Clase C,USD,2026-04-08,1.0,1411.864,0.131,16.234,39.96
Alpha Latam - Clase D,USD,2026-04-08,1.0,1000,0.0,0.0,0.0
Alpha Latam - Clase H,USD,2026-04-08,1.0,1000,0.0,0.0,0.0
Alpha Latam - Clase I,USD,2026-04-08,1.0,1000,0.0,0.0,0.0
Alpha Latam - Clase Q Ley N° 27.743,USD,2026-04-08,1.0,1355.112,0.125,16.14,39.538
Compass Renta Mixta Dólares - Clase H Ley N° 27.743,USB,2026-04-08,2.0,1044.19,0.656,1.291,
Fima Acciones Latinoamerica - Clase A,USD,2026-04-08,3.0,1661.469,0.61,20.578,65.307
